"","dateYYYYMMDD","WeeklyAverageDewPointTemperature","WeeklyAverageDryBulbTemperature","WeeklyAverageRelativeHumidity","WeeklyAverageSeaLevelPressure","WeeklyAverageStationPressure","WeeklyAverageWetBulbTemperature","WeeklyAverageWindSpeed","WeeklyMaximumDryBulbTemperature","WeeklyMinimumDryBulbTemperature","WeeklyPeakWindSpeed","WeeklyPrecipitation"
"1",1990-03-03,18.7833333333333,32.8333333333333,57.1833333333333,30.1598333333333,29.4115,28.1333333333333,12.6666666666667,47,23,22,0
"2",1990-03-10,29.1310344827586,36.3724137931034,76.4275862068965,30.2937931034483,29.5455172413793,33.8965517241379,13.2689655172414,62,23,24,0.0108275862068966
"3",1990-03-17,49.3169014084507,58.8591549295775,72.2183098591549,29.8333098591549,29.115,53.8521126760563,17.8028169014085,81,36,35,0.00246478873239437
"4",1990-03-24,21.2857142857143,35.7214285714286,57.6142857142857,30.2417142857143,29.4954285714286,30.7857142857143,13.05,62,22,26,0.00292857142857143
"5",1990-03-31,28.5714285714286,38.6071428571429,70.9642857142857,30.2509285714286,29.5065714285714,34.9142857142857,11.2714285714286,52,23,26,0.00271428571428571
"6",1990-04-07,27.9160839160839,38.4965034965035,68.1538461538462,29.9606993006993,29.2227972027972,34.5314685314685,12.9440559440559,55,22,28,0.00111888111888112
"7",1990-04-14,29.8785714285714,42.6714285714286,63.5142857142857,30.1187857142857,29.3795714285714,37.5142857142857,12.7714285714286,61,26,25,0.00478571428571429
"8",1990-04-21,35.2357142857143,48.2214285714286,64.9928571428571,30.1812857142857,29.4455,42.7357142857143,11.8142857142857,66,28,28,0.00221428571428571
"9",1990-04-28,54.4285714285714,69.95,60.15,29.8762142857143,29.1632857142857,60.75,13.4928571428571,87,38,26,0.000571428571428571
"10",1990-05-05,39.1489361702128,52.4822695035461,64.1063829787234,30.0251773049645,29.296524822695,46.3687943262411,12.2482269503546,69,40,29,0.0098581560283688
"11",1990-05-12,45.4285714285714,56.5571428571429,69.8357142857143,29.8147857142857,29.0947857142857,50.6928571428571,14.7857142857143,80,37,29,0.0219285714285714
"12",1990-05-19,49.7571428571429,58.6714285714286,74.7642857142857,29.8555714285714,29.1358571428571,54.0071428571429,14.4642857142857,72,46,36,0.00414285714285714
"13",1990-05-26,48.5,56.25,77.1571428571429,29.9887142857143,29.2635714285714,52.1357142857143,10.8714285714286,71,42,24,0.00457142857142857
"14",1990-06-02,46.7071428571429,63.2142857142857,57.3642857142857,29.9701428571429,29.2497142857143,54.4214285714286,13.2,85,40,32,0.00121428571428571
"15",1990-06-09,49.9787234042553,63.6028368794326,64.0921985815603,29.9103546099291,29.1932624113475,56.2056737588652,12.1914893617021,81,43,32,0.00262411347517731
"16",1990-06-16,60.1785714285714,72.7428571428571,66.2714285714286,30.0140714285714,29.2994285714286,64.9071428571429,11.7857142857143,92,52,25,0.0045
"17",1990-06-23,59.9007092198582,69.1985815602837,74.1985815602837,29.8128368794326,29.1022695035461,63.5460992907801,12.3404255319149,89,52,25,0.00354609929078014
"18",1990-06-30,62.4285714285714,72.3617021276596,72.8142857142857,29.9715602836879,29.258085106383,66.25,9.5531914893617,91,50,24,0.0135460992907801
"19",1990-07-07,60.5886524822695,72.9290780141844,66.9148936170213,30.0216312056738,29.3083687943262,65.1560283687943,11.9148936170213,96,54,25,7.09219858156028e-05
"20",1990-07-14,60.6,70.2928571428571,72.8642857142857,30.025,29.3096428571429,64.1928571428571,12.9642857142857,95,59,29,0.00228571428571429
"21",1990-07-21,64.15,71.4714285714286,79.8,30.0177857142857,29.302,66.7785714285714,9.77857142857143,88,58,21,0.00907142857142857
